state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,election_year,qualification,total_votes_const,vote_share,rank_in_const,won_seat,top1_vote_share,top2_vote_share,margin_top1_top2,num_candidates,enp
1,3,2,P113,टंक मणि राई,पुरुष,44,91,2074,unknown,68389,0.001330623,9,0,0.53396014,0.392826332,0.141133808,10,2.268783584
1,3,2,P012,कुल बहादुर लिम्बु,पुरुष,44,70,2074,unknown,68389,0.001023556,10,0,0.53396014,0.392826332,0.141133808,10,2.268783584
1,4,1,P003,सुरेन्द्र कुमार कार्की,पुरुष,61,36173,2074,unknown,73303,0.4934723,1,1,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P002,विश्व प्रकाश शर्मा,पुरुष,47,33310,2074,unknown,73303,0.454415235,2,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P017,सन्तोष तामाङ्ग,पुरुष,34,1389,2074,unknown,73303,0.018948747,3,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P006,भक्त वहादुर लिम्वु,पुरुष,54,1044,2074,unknown,73303,0.014242255,4,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P034,धन बहादुर सुब्बा,पुरुष,36,904,2074,unknown,73303,0.012332374,5,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P096,भवानी प्रसाद ढकाल,पुरुष,59,370,2074,unknown,73303,0.005047542,6,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,1,P055,दान बहादुर तामङ्ग,पुरुष,64,113,2074,unknown,73303,0.001541547,7,0,0.4934723,0.454415235,0.039057065,7,2.218524901
1,4,2,P001,पवित्रा निरौला (खरेल),महिला,53,45817,2074,unknown,81957,0.559037056,1,1,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P002,उद्धव थापा,पुरुष,59,32050,2074,unknown,81957,0.391058726,2,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P092,नवीन बाँस्तोला,पुरुष,41,1105,2074,unknown,81957,0.01348268,3,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P034,मान बहादुर साँवा(लिम्बु),पुरुष,45,608,2074,unknown,81957,0.007418524,4,0,0.559037056,0.391058726,0.16797833,11,2.146692895
