state_id,district_id,const_id,party_id,candidate_name,gender,age,qualification,election_year,seat_id,candidate_name_norm,candidate_key,pr_share_seat_79,pr_rank_seat_79,pr_share_district_74,pr_rank_district_74,missing_pr_share_seat_79,missing_pr_rank_seat_79,missing_pr_share_district_74,missing_pr_rank_district_74,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev_79,cand_rank_prev_79,cand_won_prev_79,missing_cand_vote_share_prev_79,missing_cand_rank_prev_79,missing_cand_won_prev_79,party_vote_share_prev_79,party_rank_prev_79,party_won_prev_79,party_contested_prev_79,missing_party_vote_share_prev_79,missing_party_rank_prev_79,missing_party_won_prev_79,enp_prev_79,num_candidates_prev_79,margin_prev_79,top1_share_prev_79,top2_share_prev_79,missing_enp_prev_79,missing_num_candidates_prev_79,missing_margin_prev_79,missing_top1_share_prev_79,missing_top2_share_prev_79,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,1,1,P046,सन्तोष राई,पुरुष,49,below_slc,2082,1_1,सन त ष र ई,सन त ष र ई_1_1,0.0,0.0,0.0,0.0,1,1,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0,1,0,1,0,0
1,1,1,P052,नरपती पौडेल,पुरुष,61,see_slc,2082,1_1,नरपत प ड ल,नरपत प ड ल_1_1,0.0003241911430979706,19.0,0.0,0.0,0,0,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0,0,0,0,0,0
1,1,1,P057,किर्ती मान मादेन,पुरुष,65,see_slc,2082,1_1,क र त म न म द न,क र त म न म द न_1_1,0.0,0.0,0.0,0.0,1,1,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.252393679,11,0.004483628,0.473001229,0.4685176,0,0,0,0,0,0,1,0,1,0,0
1,2,1,P001,अइन्द्र सुन्दर नेम्वाङ,पुरुष,48,plus2,2082,2_1,अइन द र स न दर न म व ङ,अइन द र स न दर न म व ङ_2_1,0.3735775898401281,1.0,0.3912576085535395,1.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.453941885,1.0,1.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,1,1,1
1,2,1,P002,नरेन्द्र कुमार केरुङ,पुरुष,53,masters,2082,2_1,नर न द र क म र क र ङ,नर न द र क म र क र ङ_2_1,0.2675395465145683,2.0,0.2605430219213504,2.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.453292085,2.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,1,1,1
1,2,1,P003,हर्क बहादुर नेम्बाङ,पुरुष,45,plus2,2082,2_1,हर क बह द र न म ब ङ,हर क बह द र न म ब ङ_2_1,0.218538394537945,3.0,0.14804538257041996,3.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,1,1,0
1,2,1,P004,महेन्द्र विक्रम थाम्सुहाङ,पुरुष,57,plus2,2082,2_1,मह न द र व क रम थ म स ह ङ,मह न द र व क रम थ म स ह ङ_2_1,0.02736646905116462,5.0,0.0,0.0,0,0,1,1,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.007430323,7.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,1,1,1,0,0
1,2,1,P005,तेज कुमार कुरुम्वाङ्ग,पुरुष,62,plus2,2082,2_1,त ज क म र क र म व ङ ग,त ज क म र क र म व ङ ग_2_1,0.034306425781798766,4.0,0.06355593648764472,4.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.022290969,3.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,1,1,0
1,2,1,P006,मचिन्द्र प्रसाद बेघा,पुरुष,69,below_slc,2082,2_1,मच न द र प रस द ब घ,मच न द र प रस द ब घ_2_1,0.024036975639908965,6.0,0.034618010662870256,5.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.017996638,4.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,1,1,0
1,2,1,P009,मित्र लिङदेन,पुरुष,52,bachelors,2082,2_1,म त र ल ङद न,म त र ल ङद न_2_1,0.000154533449467562,28.0,0.0,0.0,0,0,1,1,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,1,0,0,0,0
