state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,election_year,qualification,total_votes_const,vote_share,rank_in_const,won_seat,top1_vote_share,top2_vote_share,margin_top1_top2,num_candidates,enp,seat_id,candidate_name_norm,candidate_key,pr_share_seat_79,pr_rank_seat_79,pr_share_district_74,pr_rank_district_74,missing_pr_share_seat_79,missing_pr_rank_seat_79,missing_pr_share_district_74,missing_pr_rank_district_74,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev_74,cand_rank_prev_74,cand_won_prev_74,missing_cand_vote_share_prev_74,missing_cand_rank_prev_74,missing_cand_won_prev_74,party_vote_share_prev_74,party_rank_prev_74,party_won_prev_74,party_contested_prev_74,missing_party_vote_share_prev_74,missing_party_rank_prev_74,missing_party_won_prev_74,enp_prev_74,num_candidates_prev_74,margin_prev_74,top1_share_prev_74,top2_share_prev_74,missing_enp_prev_74,missing_num_candidates_prev_74,missing_margin_prev_74,missing_top1_share_prev_74,missing_top2_share_prev_74,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,1,1,P001,योगेश कुमार भट्टराई,पुरुष,56,21943,2079,masters,46391,0.473001229,1,1,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,य ग श क म र भट टर ई,य ग श क म र भट टर ई_1_1,0.42369621128617435,1.0,0.4407514450867052,1.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.597406019,1.0,1.0,0,0,0,0.597406019,1.0,1.0,1,0,0,0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,1,1,0
1,1,1,P003,खेल प्रसाद बुडाक्षेत्री,पुरुष,46,21735,2079,plus2,46391,0.4685176,2,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,ख ल प रस द ब ड क ष त र,ख ल प रस द ब ड क ष त र_1_1,0.14495666645053923,3.0,0.1347543352601156,3.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,1,1,1
1,1,1,P034,होम प्रसाद तुम्बाहाम्फे,पुरुष,56,941,2079,see_slc,46391,0.020284107,3,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,ह म प रस द त म ब ह म फ,ह म प रस द त म ब ह म फ_1_1,0.02014307635782057,5.0,0.042693811628697724,4.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.032242375,3.0,0.0,1,0,0,0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,0,0,0
1,1,1,P006,चन्द्र मादेन,पुरुष,49,628,2079,bachelors,46391,0.013537108,4,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,चन द र म द न,चन द र म द न_1_1,0.015604400354448983,6.0,0.011050663039782386,6.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.008004864,4.0,0.0,1,0,0,0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,1,1,1
1,1,1,P005,राम बहादुर कार्की,पुरुष,65,406,2079,bachelors,46391,0.008751698,5,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,र म बह द र क र क,र म बह द र क र क_1_1,0.01376731721022715,7.0,0.009478068684121047,8.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,1,1,0
1,1,1,P055,इन्द्र कुमार लिम्बू,पुरुष,45,266,2079,bachelors,46391,0.005733871,6,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,इन द र क म र ल म ब,इन द र क म र ल म ब_1_1,0.0071322051481553525,8.0,0.010795647738864331,7.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.006545749,6.0,0.0,1,0,0,0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,0,0,0
1,1,1,P000,सन्जु कुमार पालुंवा,पुरुष,66,192,2079,see_slc,46391,0.004138734,7,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,सन ज क म र प ल व,सन ज क म र प ल व_1_1,0.0,0.0,0.0,0.0,1,1,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,1,0,0,0,0,0
1,1,1,P017,विक्रम लिम्वु,पुरुष,28,134,2079,see_slc,46391,0.002888491,8,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,व क रम ल म व,व क रम ल म व_1_1,0.002701592859149755,9.0,0.0006375382522951377,15.0,0,0,0,0,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.00085115,8.0,0.0,1,0,0,0,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,0,0,0
1,1,1,P010,चैतन्य  प्रकाश  केदेम,पुरुष,54,61,2079,see_slc,46391,0.00131491,9,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,च तन य प रक श क द म,च तन य प रक श क द म_1_1,0.0004970930860835549,18.0,0.0,0.0,0,0,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,0,0,0
1,1,1,P090,कृष्ण वहादुर लिम्बु,पुरुष,56,56,2079,see_slc,46391,0.001207131,10,0,0.473001229,0.4685176,0.004483628,11,2.252393679,1_1,क ष ण वह द र ल म ब,क ष ण वह द र ल म ब_1_1,0.0007780587434351293,14.0,0.0,0.0,0,0,1,1,82.21,71.91,19.060000000000002,3.6500000000000004,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.104125811,8,0.25516263,0.597406019,0.342243388,0,0,0,0,0,0,0,0,0,0,0
