state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,qualification
1,4,2,P000,कुमार भट्टराई,पुरुष,50,244,Masters
1,4,2,P006,रामसुफल कामती,पुरुष,63,133,Education N/A
1,4,2,P041,ज्ञानेन्द्रराज कार्की,पुरुष,36,106,एस एल सी उत्तीर्ण
1,4,2,P090,कृष्ण प्रसाद गौतम,पुरुष,31,99,Education N/A
1,4,2,P000,चेत कुमार खनाल,पुरुष,47,80,आइ ए
1,4,2,P000,खेमराज दहाल,पुरुष,60,20,UNDER SLC
1,4,2,P011,महेन्द्र खायमली,पुरुष,50,14,बि एल
1,4,3,P005,राजेन्द्र प्रसाद लिङ्देन,पुरुष,57,40662,स्तनातक
1,4,3,P002,कृष्ण प्रसाद सिटौला,पुरुष,72,37386,Bachelor
1,4,3,P004,प्रकाश पाठक,पुरुष,34,3461,बि.बि.एस
1,4,3,P000,डम्बर बहादुर गिरी,पुरुष,39,735,UNDER SLC
1,4,3,P017,श्याम बहादुर लिम्वु,पुरुष,36,650,बि.ए.
1,4,3,P006,वीर बहादुर राई,पुरुष,70,464,८ कक्षा पास
1,4,3,P013,योगेन्द्र प्रसाद खनाल,पुरुष,41,374,माध्यमिक त ह
1,4,3,P000,प्रेम प्रसाद खनाल,पुरुष,37,294,आई ए
1,4,3,P007,भोट लाल राजवंशी,पुरुष,34,194,कक्षा १०
1,4,3,P034,डम्बर बहादुर लिम्बु,पुरुष,44,113,कक्षा १०
1,4,3,P000,ओम प्रकाश खरेल,पुरुष,43,107,स्तात्तकोतर
1,4,3,P000,मनोरथ राजवंशी,पुरुष,47,82,Proficiency Certificate
1,4,3,P010,देवेन्द्र किशोर ढुंगाना,पुरुष,60,70,Bachelor
1,4,3,P055,गजेन्द्र लिम्बु,पुरुष,34,61,स्‍नातक
1,4,3,P073,भक्ती प्रसाद पनेरु,पुरुष,42,59,+2 पास
1,4,3,P011,कृष्ण गोपाल छुस्यावाग,पुरुष,55,35,S.L.C.
1,4,3,P093,चूडामणि अधिकारी,पुरुष,61,35,Bachelor
1,4,3,P061,देवी  रमण भट्टराई,पुरुष,68,26,Masters
1,4,4,P001,लाल प्रसाद साँवा लिम्बू,पुरुष,55,29315,Masters
1,4,4,P002,देउ कुमार थेवे,पुरुष,57,22448,10+2
1,4,4,P004,शम्भु प्रसाद ढकाल,पुरुष,46,14069,Bachelor
1,4,4,P000,खुश्बु ओली,महिला,32,5010,Masters
1,4,4,P013,युक्त प्रसाद भेटवाल,पुरुष,61,917,S.L.C.
1,4,4,P000,नन्द राज राई,पुरुष,67,810,Masters
1,4,4,P034,लाहान सिं तुम्बापो,पुरुष,64,706,UNDER SLC
1,4,4,P017,दिलिप धिमाल,पुरुष,37,445,10 +2
1,4,4,P007,सत्य नारायण राजवंशी,पुरुष,45,416,साधारण
1,4,4,P006,हर्कराज राई,पुरुष,63,183,S.L.C.
1,4,4,P055,मन कुमार ताप्मादेन (लिम्बु),पुरुष,28,182,10+2
1,4,4,P010,ग्यासुदिन मिया,पुरुष,53,111,Education N/A
1,4,4,P000,कमल बहादुर पौड्याल,पुरुष,56,90,Bachelor
1,4,4,P000,पूर्ण कमार लिम्बु (फेजुङ्ग),पुरुष,49,67,Proficiency Certificate
1,4,4,P073,दुर्गा प्रसाद घिमिरे,पुरुष,58,26,कक्षा १०
1,4,4,P000,किरण श्रेष्ठ,पुरुष,26,18,एस एल सी
1,4,4,P011,विक्रम कासिछ्‌वा,पुरुष,46,13,UNDER SLC
1,4,4,P000,लक्ष्मीनारायण खनाल,पुरुष,43,10,10+2
1,4,5,P001,के.पी शर्मा ओली,पुरुष,70,52319,UNDER SLC
1,4,5,P002,खगेन्द्र अधिकारी,पुरुष,48,23743,विद्यावारिधि
1,4,5,P004,शुरेस कुमार पोखरेल,पुरुष,49,11759,Masters
1,4,5,P007,भीम राजवंशी,पुरुष,49,1485,एम वि ए
1,4,5,P034,कविन्द्र शेर्मा लिम्बु,पुरुष,63,1281,SLC
1,4,5,P017,सान बहादुर मेचे,पुरुष,39,744,S L C
1,4,5,P006,ओम माया आङदेम्वे,महिला,46,629,+2 पास
1,4,5,P000,दिपक कुमार पाठक,पुरुष,44,356,एम फिल अंग्रेजी
1,4,5,P011,रुद्र प्रसाद दाहाल,पुरुष,46,250,S.L.C.
1,4,5,P000,कल्पना लावती,महिला,45,224,S.L.C.
1,4,5,P055,पदम बहादुर जवेगु,पुरुष,45,214,वि कम
1,4,5,P000,केदार नाथ चापागाई,पुरुष,37,165,स्नातकोत्तर
1,4,5,P010,चन्द्र प्रसाद राजवंशी,पुरुष,43,105,S L C
1,4,5,P095,राजन चुडाल,पुरुष,42,88,डिप्लोमा इन आर्टस
1,4,5,P000,रोहीत प्रसाद पौड्याल,पुरुष,51,81,Masters
1,4,5,P000,तुलसी राम काफ्ले,पुरुष,55,70,Bachelor
1,4,5,P000,रेवती रमण खनाल,पुरुष,53,63,Proficiency Certificate
1,4,5,P000,रामचन्द्र बानिया,पुरुष,52,57,स्‍नातक
1,4,5,P073,सेखरनाथ सेडाई,पुरुष,45,51,Proficiency Certificate
1,4,5,P000,इन्द्रमणी दाहाल,पुरुष,51,50,S.L.C.
1,4,5,P000,राम प्रसाद पाठक ,पुरुष,40,49,स्नातक
1,4,5,P000,भेषराज भट्टराई,पुरुष,41,41,Bachelor
1,4,5,P000,तिर्थेश्‍वर चौधरी,पुरुष,25,20,+2
1,4,5,P000,शान्ता अधिकारी,महिला,47,13,S.L.C.
1,4,5,P000,सिताराम पोख्रेल,पुरुष,52,13,S.L.C.
1,5,1,P002,दिपक खड्का,पुरुष,51,32161,स्नातकोत्तर
1,5,1,P001,राजेन्द्र प्रसाद गौत्तम,पुरुष,59,26721,एम.वि.ए.
1,5,1,P004,भक्त नारायण श्रेष्ठ,पुरुष,55,1136,S.L.C.
1,5,1,P006,दिपक कुमार राई (याक्खा),पुरुष,45,811,एम.ए
1,5,1,P000,तेन्जी भोटिया,पुरुष,33,532,स्नाकोत्तर
1,5,1,P017,देवेन्द्र कुमार (रिल्ली) घले,पुरुष,55,422,
1,5,1,P005,भोला मान कार्की,पुरुष,51,308,आइ.एल.
1,5,1,P061,टिका राम शाही,पुरुष,79,152,S.L.C.
1,5,1,P034,राज कुमार लिम्बु,पुरुष,35,139,Proficiency Certificate
1,5,1,P000,प्रविन कार्की,पुरुष,30,131,I.A.
1,5,1,P055,कृष्ण कुमार राई(कुलुङ),पुरुष,65,46,सामान्य
1,5,1,P095,बिनोद घिमिरे,पुरुष,60,26,एस.एल.सी
1,6,1,P002,सिता गुरुङ्ग,महिला,46,19707,Masters
1,6,1,P001,बिजय सुब्बा,पुरुष,64,18631,विद्यावारिधी (पिएच.डि.)
1,6,1,P034,विष्णु कुमार चोङवाङ,पुरुष,31,725,स्नातकोत्तर
1,6,1,P005,युव राम गौतम,पुरुष,87,415,Education N/A
1,6,1,P006,नारायण मान गुरुङ्ग,पुरुष,55,118,UNDER SLC
1,6,1,P061,गौरी प्रसाद कन्दङवा,पुरुष,69,83,स्‍नातक
1,6,1,P017,गंगा वहादुर चोङवाङ् लिम्बु,पुरुष,36,82,S.L.C.
1,6,1,P000,शुसन चोङवाङ लिम्बु,पुरुष,38,57,Bachelor
1,6,1,P055,राजेन्द्र कुमार लिम्बू,पुरुष,66,54,S.L.C.
1,6,1,P033,टंक प्रसाद भट्टराई,पुरुष,60,29,Proficiency Certificate
1,7,1,P003,सुदन किराती,पुरुष,43,28591,S.L.C.
