district_id,party_id,votes_received,year
6,P099,3,2074
6,P111,3,2074
6,P108,2,2074
6,P091,2,2074
6,P104,2,2074
6,P100,2,2074
6,P102,2,2074
6,P018,2,2074
6,P117,1,2074
6,P106,1,2074
6,P033,1,2074
6,P115,0,2074
6,P027,0,2074
6,P036,0,2074
6,P103,0,2074
6,P015,0,2074
6,P073,0,2074
6,P116,0,2074
6,P107,0,2074
6,P112,0,2074
7,P001,25099,2074
7,P002,15710,2074
7,P003,11154,2074
7,P006,2604,2074
7,P097,473,2074
7,P022,306,2074
7,P017,255,2074
7,P058,155,2074
7,P029,155,2074
7,P005,151,2074
7,P092,135,2074
7,P113,129,2074
7,P014,108,2074
7,P096,105,2074
7,P099,58,2074
7,P074,47,2074
7,P011,34,2074
7,P055,23,2074
7,P034,22,2074
7,P102,18,2074
7,P100,18,2074
7,P059,15,2074
7,P023,14,2074
7,P027,11,2074
7,P114,11,2074
7,P101,11,2074
7,P110,8,2074
7,P012,8,2074
7,P103,7,2074
7,P105,6,2074
7,P116,5,2074
7,P109,4,2074
7,P098,4,2074
7,P036,4,2074
7,P111,3,2074
7,P039,3,2074
7,P106,3,2074
7,P018,3,2074
7,P107,3,2074
7,P108,2,2074
7,P115,2,2074
7,P073,2,2074
7,P033,1,2074
7,P112,1,2074
7,P117,1,2074
7,P015,1,2074
7,P021,1,2074
7,P104,0,2074
7,P091,0,2074
8,P001,30947,2074
8,P002,12320,2074
8,P003,7479,2074
8,P097,6161,2074
8,P006,2554,2074
8,P096,825,2074
8,P034,689,2074
8,P092,547,2074
8,P005,334,2074
8,P014,200,2074
8,P022,198,2074
8,P058,171,2074
8,P055,167,2074
8,P012,93,2074
8,P029,68,2074
8,P017,45,2074
8,P074,37,2074
8,P011,33,2074
8,P113,30,2074
8,P104,29,2074
8,P059,27,2074
8,P023,20,2074
8,P027,17,2074
8,P102,12,2074
8,P103,10,2074
8,P114,10,2074
8,P098,10,2074
8,P100,8,2074
8,P101,7,2074
8,P021,7,2074
8,P018,6,2074
8,P106,5,2074
8,P112,4,2074
8,P109,4,2074
8,P033,4,2074
8,P111,4,2074
8,P015,4,2074
8,P117,3,2074
8,P105,3,2074
8,P099,3,2074
8,P107,3,2074
8,P115,3,2074
8,P036,3,2074
8,P108,2,2074
8,P039,2,2074
8,P110,2,2074
8,P116,1,2074
8,P073,1,2074
8,P091,0,2074
9,P002,160543,2074
9,P001,144824,2074
9,P003,44951,2074
9,P006,30315,2074
9,P029,8897,2074
9,P092,7289,2074
9,P005,4422,2074
9,P034,3900,2074
9,P022,1950,2074
9,P097,1500,2074
9,P014,1250,2074
9,P058,1002,2074
9,P055,881,2074
9,P017,845,2074
9,P096,767,2074
9,P113,678,2074
9,P036,669,2074
9,P011,457,2074
9,P023,361,2074
9,P074,271,2074
9,P114,266,2074
9,P104,230,2074
9,P059,146,2074
9,P111,120,2074
9,P012,112,2074
9,P099,107,2074
9,P100,92,2074
9,P039,73,2074
9,P102,73,2074
9,P098,66,2074
9,P101,63,2074
9,P018,53,2074
9,P106,46,2074
9,P103,42,2074
9,P110,39,2074
9,P027,33,2074
9,P108,32,2074
9,P033,31,2074
9,P107,29,2074
9,P109,24,2074
9,P115,22,2074
9,P112,22,2074
9,P015,21,2074
9,P105,21,2074
9,P091,20,2074
9,P116,17,2074
9,P073,12,2074
9,P117,11,2074
9,P021,6,2074
10,P001,116402,2074
10,P002,112438,2074
10,P003,19591,2074
10,P006,16826,2074
10,P029,6370,2074
10,P092,4869,2074
10,P005,2417,2074
10,P034,2190,2074
10,P097,2061,2074
10,P014,1486,2074
10,P058,1056,2074
10,P017,993,2074
10,P104,987,2074
10,P022,922,2074
10,P096,776,2074
10,P113,673,2074
10,P055,661,2074
10,P074,216,2074
10,P023,215,2074
10,P114,198,2074
10,P011,173,2074
10,P012,153,2074
10,P099,135,2074
10,P059,131,2074
10,P036,127,2074
10,P021,115,2074
10,P100,94,2074
10,P098,83,2074
10,P033,82,2074
10,P039,56,2074
10,P111,56,2074
10,P018,44,2074
10,P109,43,2074
10,P027,38,2074
10,P108,37,2074
10,P102,37,2074
10,P101,35,2074
10,P073,32,2074
10,P105,31,2074
10,P103,23,2074
10,P117,19,2074
10,P110,19,2074
10,P106,15,2074
10,P107,14,2074
10,P112,14,2074
10,P116,14,2074
10,P115,10,2074
10,P015,8,2074
10,P091,8,2074
11,P002,15148,2074
11,P001,12066,2074
11,P003,7673,2074
11,P005,585,2074
11,P014,376,2074
11,P006,248,2074
11,P022,159,2074
11,P058,82,2074
11,P092,62,2074
11,P029,61,2074
11,P011,43,2074
11,P017,39,2074
11,P097,35,2074
11,P098,31,2074
11,P059,23,2074
11,P074,15,2074
11,P055,14,2074
11,P036,11,2074
11,P102,10,2074
11,P113,9,2074
11,P096,8,2074
11,P018,8,2074
11,P100,7,2074
11,P012,7,2074
11,P101,6,2074
11,P023,5,2074
11,P110,4,2074
11,P111,4,2074
11,P033,4,2074
11,P108,3,2074
11,P103,3,2074
11,P114,3,2074
11,P106,3,2074
11,P039,2,2074
11,P105,2,2074
11,P099,2,2074
11,P021,1,2074
11,P107,1,2074
11,P104,1,2074
11,P027,1,2074
11,P109,1,2074
11,P015,1,2074
11,P034,1,2074
11,P091,1,2074
11,P116,1,2074
11,P073,1,2074
11,P115,0,2074
11,P117,0,2074
11,P112,0,2074
12,P001,24134,2074
12,P002,20718,2074
12,P003,12433,2074
12,P006,2405,2074
12,P005,932,2074
12,P014,727,2074
12,P022,566,2074
12,P097,306,2074
12,P029,275,2074
12,P058,209,2074
12,P092,129,2074
12,P074,70,2074
12,P096,63,2074
12,P100,58,2074
12,P017,42,2074
12,P011,34,2074
12,P055,31,2074
12,P109,28,2074
12,P102,24,2074
12,P098,21,2074
12,P034,19,2074
12,P114,14,2074
12,P023,14,2074
12,P113,13,2074
12,P103,12,2074
12,P039,11,2074
12,P021,10,2074
12,P059,10,2074
12,P101,10,2074
12,P036,7,2074
12,P012,7,2074
12,P111,7,2074
12,P027,6,2074
12,P033,6,2074
12,P108,6,2074
12,P110,4,2074
12,P104,4,2074
12,P107,4,2074
12,P106,4,2074
12,P112,4,2074
12,P018,3,2074
12,P115,3,2074
12,P116,3,2074
12,P105,3,2074
12,P117,3,2074
12,P099,2,2074
12,P091,1,2074
12,P073,0,2074
12,P015,0,2074
13,P001,25858,2074
13,P002,25114,2074
13,P003,6502,2074
13,P006,662,2074
13,P092,262,2074
13,P014,227,2074
13,P097,211,2074
13,P022,190,2074
13,P113,150,2074
13,P058,144,2074
13,P005,123,2074
13,P017,78,2074
13,P096,67,2074
13,P059,60,2074
13,P011,50,2074
13,P074,24,2074
13,P100,19,2074
13,P029,19,2074
13,P012,17,2074
13,P109,16,2074
13,P055,13,2074
13,P098,10,2074
13,P111,10,2074
13,P102,10,2074
13,P023,8,2074
13,P114,6,2074
13,P015,5,2074
13,P116,4,2074
13,P101,4,2074
13,P021,4,2074
13,P099,3,2074
13,P103,3,2074
13,P112,3,2074
13,P107,3,2074
13,P104,2,2074
13,P018,2,2074
13,P106,2,2074
13,P033,2,2074
13,P036,1,2074
13,P110,1,2074
13,P108,1,2074
13,P091,1,2074
13,P105,1,2074
13,P027,0,2074
13,P034,0,2074
13,P115,0,2074
13,P117,0,2074
13,P073,0,2074
13,P039,0,2074
14,P002,40957,2074
14,P001,36812,2074
14,P003,18477,2074
14,P006,2065,2074
14,P097,1539,2074
14,P092,861,2074
14,P022,500,2074
14,P005,485,2074
14,P014,444,2074
14,P096,411,2074
14,P058,360,2074
14,P029,348,2074
14,P017,153,2074
14,P055,111,2074
14,P011,106,2074
14,P113,82,2074
14,P104,78,2074
14,P059,62,2074
14,P033,62,2074
14,P109,54,2074
14,P074,46,2074
14,P102,42,2074
14,P114,23,2074
14,P023,23,2074
14,P012,22,2074
14,P036,18,2074
14,P101,16,2074
14,P100,16,2074
14,P099,15,2074
14,P098,14,2074
14,P034,11,2074
14,P110,11,2074
14,P018,10,2074
14,P115,9,2074
14,P103,9,2074
14,P039,9,2074
14,P111,8,2074
14,P021,7,2074
14,P027,6,2074
14,P015,6,2074
14,P073,5,2074
14,P091,4,2074
14,P108,4,2074
14,P112,4,2074
14,P106,4,2074
14,P117,3,2074
14,P105,3,2074
14,P116,2,2074
14,P107,2,2074
15,P029,47599,2074
15,P002,45301,2074
15,P006,32490,2074
15,P001,30525,2074
15,P003,18820,2074
15,P014,2719,2074
15,P097,2197,2074
15,P104,1722,2074
15,P005,1360,2074
15,P022,1340,2074
15,P096,1283,2074
15,P023,1201,2074
15,P114,972,2074
15,P058,629,2074
15,P092,625,2074
15,P113,413,2074
15,P011,370,2074
15,P018,323,2074
15,P036,268,2074
15,P112,170,2074
15,P017,150,2074
15,P116,125,2074
15,P039,118,2074
15,P055,114,2074
15,P098,111,2074
15,P033,91,2074
15,P012,89,2074
15,P074,75,2074
15,P103,72,2074
15,P027,69,2074
15,P110,63,2074
15,P034,54,2074
15,P105,52,2074
15,P099,41,2074
15,P102,40,2074
15,P059,38,2074
15,P100,38,2074
15,P101,32,2074
15,P111,32,2074
15,P108,29,2074
15,P073,28,2074
15,P021,27,2074
15,P107,23,2074
15,P109,19,2074
15,P106,18,2074
15,P115,17,2074
15,P117,9,2074
15,P091,8,2074
15,P015,8,2074
16,P001,52716,2074
16,P002,52543,2074
16,P006,47857,2074
16,P003,27658,2074
16,P029,20237,2074
16,P014,1673,2074
16,P022,1470,2074
16,P005,1271,2074
16,P097,1113,2074
16,P104,794,2074
16,P018,747,2074
16,P023,517,2074
16,P058,517,2074
16,P096,465,2074
16,P092,397,2074
16,P114,352,2074
16,P113,351,2074
16,P011,292,2074
16,P055,279,2074
16,P039,166,2074
16,P012,141,2074
16,P074,76,2074
16,P098,62,2074
16,P027,58,2074
16,P034,49,2074
16,P100,47,2074
16,P103,46,2074
16,P099,42,2074
16,P111,34,2074
16,P102,32,2074
16,P059,30,2074
16,P101,29,2074
16,P105,27,2074
16,P116,23,2074
16,P109,20,2074
16,P110,18,2074
16,P036,18,2074
16,P021,18,2074
16,P108,17,2074
16,P115,16,2074
16,P073,15,2074
16,P033,15,2074
16,P017,14,2074
16,P091,12,2074
16,P112,10,2074
16,P015,9,2074
16,P107,8,2074
16,P106,6,2074
16,P117,6,2074
17,P001,38720,2074
17,P002,20838,2074
17,P003,14582,2074
17,P005,1137,2074
17,P022,987,2074
17,P092,609,2074
17,P017,569,2074
17,P058,326,2074
17,P006,286,2074
17,P014,211,2074
17,P097,140,2074
17,P114,66,2074
17,P096,65,2074
17,P074,56,2074
17,P101,55,2074
17,P011,54,2074
17,P113,52,2074
17,P033,43,2074
17,P099,37,2074
17,P036,35,2074
17,P100,34,2074
17,P115,28,2074
17,P015,27,2074
17,P055,23,2074
17,P018,22,2074
17,P029,19,2074
17,P105,17,2074
17,P103,12,2074
17,P111,11,2074
17,P012,11,2074
17,P104,10,2074
17,P021,9,2074
17,P102,8,2074
17,P110,8,2074
17,P023,6,2074
17,P091,4,2074
17,P107,4,2074
17,P109,4,2074
17,P108,3,2074
17,P098,3,2074
17,P106,3,2074
17,P039,2,2074
17,P117,2,2074
17,P027,2,2074
17,P034,1,2074
17,P073,1,2074
17,P116,1,2074
17,P059,1,2074
17,P112,1,2074
18,P001,26852,2074
18,P002,26627,2074
18,P003,19437,2074
18,P097,1295,2074
18,P005,1204,2074
18,P022,503,2074
18,P092,473,2074
18,P014,403,2074
18,P006,316,2074
18,P096,265,2074
18,P113,251,2074
