state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received
1,5,1,P001,राजेन्द्र प्रसाद गौत्तम,पुरुष,54,32769
1,5,1,P002,दिपक खड्का,पुरुष,46,31639
1,5,1,P006,भवानी प्रसाद राई,पुरुष,53,587
1,5,1,P014,फरेन्द्र शर्म (दाहाल),पुरुष,38,230
1,5,1,P034,राज कुमार लिम्बु,पुरुष,30,191
1,5,1,P055,भरत राई (लाङछवा),पुरुष,74,168
1,5,1,P017,नरेन्द्र राज राई,पुरुष,45,125
1,5,1,P096,गोपाल राज पौडेल,पुरुष,53,117
1,5,1,P029,ललित गुरुङ्ग,पुरुष,26,87
1,5,1,P111,ट‌ंक बहादुर न्यौपाने,पुरुष,33,37
1,5,1,P000,गुप्त बहादुर श्रेष्ठ,पुरुष,57,17
1,6,1,P001,भवानी प्रसाद खापुङ,पुरुष,56,21335
1,6,1,P002,सिता गुरुङ्ग,महिला,41,19314
1,6,1,P034,शंकर मान लिम्बु,पुरुष,37,910
1,6,1,P014,टंक बहादुर भट्टराई,पुरुष,60,170
1,6,1,P006,तुलसी प्रसाद अधिकारी,पुरुष,48,156
1,6,1,P022,डिल्ली बहादुर बुढाथोकी,पुरुष,26,145
1,6,1,P055,सागर नाथ रेग्मी,पुरुष,59,97
1,6,1,P113,काली बहादुर फुदोङ,पुरुष,54,50
1,6,1,P096,गौरी प्रसाद कन्दङवा,पुरुष,64,46
1,6,1,P017,गंगा वहादुर चोङवाङ् लिम्बु,पुरुष,31,45
1,6,1,P012,हरि लाल अधिकारी,पुरुष,64,33
1,7,1,P003,सुदन किराती,पुरुष,38,34394
1,7,1,P002,उमेश जंग रायमाझी,पुरुष,48,21696
1,7,1,P022,अनिल बस्नेत,पुरुष,34,2601
1,7,1,P017,चन्द्र प्रसाद राई,पुरुष,39,480
1,7,1,P113,डिल्ली राम वोहरा,पुरुष,38,480
1,7,1,P014,युवराज कटवाल,पुरुष,26,335
1,7,1,P029,ध्रुवराज राई,पुरुष,36,303
1,7,1,P034,केदार राई मेवाहाङ,पुरुष,28,135
1,8,1,P001,राजेन्द्र कुमार राई,पुरुष,51,37333
1,8,1,P097,सुनील बहादुर थापा,पुरुष,58,26874
1,8,1,P096,सुभान सिं राई,पुरुष,40,1390
1,8,1,P034,चन्द्र सिंह लिम्वु नेम्वाङ्ग,पुरुष,39,726
1,8,1,P055,इन्द्र वहादुर रसाइली,पुरुष,70,147
1,8,1,P017,श्याम मान राई,पुरुष,48,94
1,9,1,P001,घनश्याम खतीवडा,पुरुष,56,37524
1,9,1,P002,डिग बहादुर लिम्वु,पुरुष,54,31436
1,9,1,P034,अशोक चेम्जोङ,पुरुष,32,1152
1,9,1,P006,राज कुमार लिम्‍बु,पुरुष,36,623
1,9,1,P055,फिव राज लिम्वु,पुरुष,40,197
1,9,1,P017,सुरज लिम्वु,पुरुष,33,183
1,9,1,P014,हरी प्रसाद न्यौपाने,पुरुष,53,122
1,9,1,P000,याम प्रसाद दाहाल,पुरुष,52,92
1,9,1,P104,नरेन्द्र शंसेर लिम्बु,पुरुष,59,81
1,9,1,P000,भिम बहादुर तामाङ्ग,पुरुष,79,17
1,9,2,P002,मिनेन्द्र प्रसाद रिजाल,पुरुष,60,35819
1,9,2,P001,ऋषिकेश पोखरेल,पुरुष,50,34014
1,9,2,P006,युवराज कार्की,पुरुष,63,2595
1,9,2,P029,महेन्द्र लाल दास केवरत,पुरुष,63,2082
1,9,2,P034,थिर बहादुर लिम्बु,पुरुष,71,293
1,9,2,P023,रघु हास्दा सतार,पुरुष,55,280
1,9,2,P014,दिपक कोईराला,पुरुष,45,249
1,9,2,P096,कुसुम लाल साह,पुरुष,63,210
1,9,2,P113,होम वहादुर अधिकारी,पुरुष,32,98
1,9,2,P012,सुरेन्द्र भण्डारी,पुरुष,37,93
1,9,2,P011,तेज प्रसाद ढकाल,पुरुष,33,42
1,9,2,P000,कल्पना बिमली,महिला,36,14
1,9,3,P001,भानु भक्त ढकाल,पुरुष,55,42413
1,9,3,P002,शुनिल कुमार शर्मा,पुरुष,39,40506
1,9,3,P022,उद्धिम बहादुर खड्का,पुरुष,35,1338
1,9,3,P034,भवि राज लिम्बु,पुरुष,46,1013
1,9,3,P006,केदार धिमाल,पुरुष,34,974
1,9,3,P017,बिकेन्द्र राई,पुरुष,36,417
1,9,3,P113,सीताराम बुढाथोकी,पुरुष,47,393
1,9,3,P029,कमल बहादुर गुरुङ्ग,पुरुष,39,268
1,9,3,P012,योगेन्द्र ढकाल,पुरुष,54,65
1,9,3,P000,पूर्ण वहादुर कार्की,पुरुष,42,19
1,9,3,P011,गणेश वहादुर फूयल,पुरुष,44,17
1,9,3,P000,सुरेश भण्डारी,पुरुष,37,10
1,9,3,P000,दीवाकर माझी,पुरुष,27,10
1,9,4,P003,अमन लाल मोदी,पुरुष,32,33529
1,9,4,P002,महेश आचार्य,पुरुष,63,26800
1,9,4,P029,लक्ष्मण साहु,पुरुष,44,3401
1,9,4,P096,महेश्वर कामत,पुरुष,55,1050
1,9,4,P092,अमलेश कुमार कर्ण (कायस्थ),पुरुष,40,874
1,9,4,P113,कृष्ण कुमार मुडियारी,पुरुष,30,739
1,9,4,P014,राकेश चौधरी,पुरुष,52,264
1,9,4,P112,किरण बहादुर क्षेत्रि,पुरुष,60,167
1,9,4,P011,शालीग्राम राउत,पुरुष,53,105
1,9,5,P003,शिव कुमार मंडल (केवट),पुरुष,42,22945
1,9,5,P002,अमृत कुमार अर्याल,पुरुष,58,19153
1,9,5,P006,राज कुमार यादव,पुरुष,45,18649
1,9,5,P029,बद्री प्रसाद मण्डल,पुरुष,74,1895
1,9,5,P096,कुर्वान मिंया,पुरुष,65,667
1,9,5,P113,अमोद डमजन,पुरुष,53,498
1,9,5,P000,अनिता कुमारी ढकाल,महिला,39,122
1,9,6,P001,लाल बाबु पंण्डित,पुरुष,58,33941
1,9,6,P002,डा शेखर कोइराला,पुरुष,67,33266
1,9,6,P006,राजेश्‍वर विश्‍वास,पुरुष,66,5261
1,9,6,P029,तवरेज अखतर आलम ,पुरुष,52,1118
1,9,6,P014,बीमला आर्याल,महिला,53,353
1,9,6,P096,मुन्ना खाँन,पुरुष,45,289
1,9,6,P113,मो. वेचन मिँया,पुरुष,56,230
1,9,6,P034,दुखाराम माझी,पुरुष,51,189
1,9,6,P017,पानालाल माझी,पुरुष,49,152
1,9,6,P011,सुरेन्द्र प्रसाद सापकोटा,पुरुष,67,74
1,10,1,P001,जय कुमार राई,पुरुष,49,44528
1,10,1,P006,अशोक कुमार राई,पुरुष,60,22123
1,10,1,P034,कृष्ण मान लिम्वु(थेवे),पुरुष,70,1521
1,10,1,P022,हर्कराज विष्ट,पुरुष,30,1366
1,10,1,P014,पदम बहादुर राई,पुरुष,43,742
1,10,1,P017,बल बहादुर राई,पुरुष,52,687
1,10,1,P113,टिका राम राई,पुरुष,34,454
1,10,1,P029,नरेश राई,पुरुष,31,435
1,10,1,P055,पुर्ण कला लिम्बु,महिला,48,431
1,10,1,P096,बलराम पोखरेल,पुरुष,64,299
1,10,1,P012,दिप वहादुर खड‍्का,पुरुष,66,110
1,10,1,P000,रुपक कुमार श्रेष्‍ठ,पुरुष,40,54
1,10,2,P002,सिताराम महतो,पुरुष,62,41495
1,10,2,P003,डम्मरु सुवेदी,पुरुष,42,35349
1,10,2,P006,तेज नारायण चौधरी,पुरुष,50,4834
1,10,2,P029,मुन्‍ना देवी मेहता,महिला,47,1674
1,10,2,P000,नुनु राम चौधरी,पुरुष,42,759
1,10,2,P014,उमेश कुमार थापा,पुरुष,39,650
1,10,2,P034,इन्द्र वहादुर कन्दङवा,पुरुष,50,623
1,10,2,P096,योग माया तिम्‍सिना,महिला,51,573
1,10,2,P017,दिनेश कुमार राई,पुरुष,37,380
1,10,2,P104,मोहन  कुमार  न्यौपाने ,पुरुष,73,216
1,10,2,P012,वाल कृष्ण सुवेदी,पुरुष,39,167
1,10,2,P000,विरेन्द्र कुमार मेहता,पुरुष,36,105
1,10,2,P000,नवराज सिह,पुरुष,30,67
1,10,2,P000,कुन्दन कुमार मेहता,पुरुष,26,60
1,10,2,P111,राजेन्द्र प्रसाद ढकाल,पुरुष,49,57
1,10,2,P000,प्रभु महतो,पुरुष,47,46
1,10,3,P002,विजय कुमार गच्‍छदार,पुरुष,63,38972
1,10,3,P001,भगवती चौधरी,महिला,46,38651
1,10,3,P006,पदम कुमार अधिकारी,पुरुष,47,1854
1,10,3,P000,मो. नसिरुदिन मिया,पुरुष,42,1063
1,10,3,P029,मनिष प्रसाद रौनीयार,पुरुष,29,465
1,10,3,P055,विशेश्वर यादव,पुरुष,45,165
1,10,3,P111,सन्तोष तिम्सीना,पुरुष,27,96
1,10,3,P000,कृष्ण कुमार सन्यासी,पुरुष,48,75
1,10,3,P000,विमल कुमार पौड्याल,पुरुष,45,38
1,10,4,P002,ज्ञानेन्द्र बहादुर कार्की,पुरुष,60,32347
1,10,4,P001,रमेश श्रेष्‍ठ,पुरुष,68,25750
1,10,4,P029,राम नारायण यादव,पुरुष,59,5020
1,10,4,P058,सिताराम पोदार,पुरुष,68,1089
1,10,4,P022,सन्तोष कुमार दाहाल,पुरुष,46,1037
1,10,4,P113,विर्सुलाल उराँव,पुरुष,36,747
1,10,4,P096,बेचन यादव,पुरुष,58,678
1,10,4,P104,जफर अहमद जमाली,पुरुष,53,435
1,10,4,P092,गणेश बहादुर विष्‍ट,पुरुष,44,286
1,10,4,P014,अरबिन्‍द पाठक,पुरुष,40,280
1,10,4,P034,ध्रुव कुमार खड्का,पुरुष,48,216
1,10,4,P000,हसबुल मंसुरी,पुरुष,38,137
1,10,4,P017,अडिल राई,पुरुष,35,135
1,10,4,P000,अब्दुल मिया,पुरुष,44,117
1,10,4,P073,नसिम अंसारी,पुरुष,25,34
1,10,4,P000,खुर्शीद आलम,पुरुष,51,8
1,11,1,P003,हेम कुमार राई,पुरुष,33,20747
1,11,1,P002,बल बहादुर के.सी,पुरुष,64,17294
1,11,1,P014,सुनिल खड्का,पुरुष,31,826
1,11,1,P006,लाक्पा शेर्पा,पुरुष,36,381
1,11,1,P029,राम काजी राई,पुरुष,41,128
1,11,1,P017,रुद्र बहादुर राना मगर,पुरुष,44,94
1,11,1,P011,दोर्जी शेर्पा,पुरुष,50,75
1,12,1,P001,विशाल भट्टराई,पुरुष,48,37837
1,12,1,P002,सरस्वती वजिमय,महिला,60,23465
1,12,1,P014,मदन कुमार राई,पुरुष,68,2494
1,12,1,P006,कृष्ण कुमार राई,पुरुष,62,2377
1,12,1,P029,विश्‍वास राई,पुरुष,33,252
1,12,1,P097,धर्मराज पोखरेल,पुरुष,44,197
1,12,1,P096,महेश वास्तोला,पुरुष,30,88
1,12,1,P055,गोकर्ण राई,पुरुष,55,78
1,12,1,P017,वीर लाल राई,पुरुष,44,68
1,12,1,P034,गणेश बहादुर राई,पुरुष,36,49
1,13,1,P001,यज्ञ राज सुनुवार,पुरुष,45,32580
1,13,1,P002,राम हरि खतिवडा,पुरुष,47,27327
1,13,1,P022,केशव रमतेल,पुरुष,36,665
1,13,1,P006,जुद्ध बहादुर राई,पुरुष,45,543
1,13,1,P014,प्रभु राम श्रेष्ठ,पुरुष,46,234
1,13,1,P012,कुन्ता देवी खत्री,महिला,62,106
1,13,1,P113,रुद्र कुमार फुयल,पुरुष,38,95
1,13,1,P017,वजेन्द्र राई,पुरुष,36,74
1,13,1,P109,चन्द्र विक्रम राई,पुरुष,65,64
1,14,1,P002,डा. नारायण खड्का,पुरुष,68,33142
1,14,1,P001,मन्जु कुमारी चौधरी,महिला,44,32594
1,14,1,P022,राम प्रसाद चौलागाई,पुरुष,50,1295
1,14,1,P006,गोपाल राई,पुरुष,39,1196
1,14,1,P014,विश्व राज राई,पुरुष,53,366
1,14,1,P029,राजेन्द्र राई,पुरुष,48,236
1,14,1,P096,कनक बहादुर रानामगर,पुरुष,65,155
1,14,1,P113,अम्वर बहादुर परियार,पुरुष,55,96
1,14,1,P033,गम्भीर बहादुर कार्की,पुरुष,65,90
1,14,1,P034,कसिक कुमार राई,पुरुष,39,45
1,14,2,P003,सुरेश कुमार राई,पुरुष,41,22551
1,14,2,P002,नारायण बहादुर कार्कि,पुरुष,68,15455
1,14,2,P006,विष्णु बहादुर राई दनुवार,पुरुष,54,1136
1,14,2,P096,गोपी गीरी,पुरुष,58,292
1,14,2,P017,खड्ग बहादुर किङरिङ मगर,पुरुष,51,252
1,14,2,P014,खुम्ब राज खत्री,पुरुष,43,245
1,14,2,P029,भुपेन्द्र राई,पुरुष,33,102
1,14,2,P011,नैन बहादुर कार्की,पुरुष,57,99
1,14,2,P033,शंकर कुमार राई,पुरुष,45,87
2,15,1,P006,डा.सुर्य नारायण यादव,पुरुष,58,21712
2,15,1,P003,अशोक कुमार मंडल,पुरुष,40,18225
2,15,1,P002,रामदेव साह(तेली),पुरुष,58,15225
2,15,1,P014,कृष्‍ण कुमार   गुप्‍ता ,पुरुष,34,1163
2,15,1,P096,विष्णु देव यादव,पुरुष,48,714
2,15,1,P033,चित्रसेन चौधरी थारु,पुरुष,67,412
2,15,1,P017,फजिल मंसुरी,पुरुष,45,246
2,15,1,P018,कुशेश्‍वर साह हलुवाई,पुरुष,63,163
2,15,1,P092,मोती मियाँ,पुरुष,59,158
2,15,1,P000,उमेश कुमार यादव,पुरुष,26,136
2,15,1,P000,शंभु कुमार साह,पुरुष,44,107
2,15,1,P000,श्याम मंडल,पुरुष,45,47
2,15,2,P006,उपेन्द्र यादव,पुरुष,56,21620
2,15,2,P003,उमेश कुमार यादव,पुरुष,47,11580
2,15,2,P000,जय प्रकाश ठाकुर,पुरुष,61,9459
2,15,2,P002,सकल देव सुतिहार,पुरुष,57,1840
2,15,2,P022,दुर्गानन्द मंडल,पुरुष,39,1465
2,15,2,P096,रामकिसोर मंडल,पुरुष,58,373
2,15,2,P112,भोला प्रसाद मुखिया,पुरुष,60,216
2,15,2,P000,सीताराम खत्वे,पुरुष,58,137
2,15,2,P000,चन्देश्‍वर मण्डल,पुरुष,54,123
2,15,2,P000,देशीनन्दन मंडल,पुरुष,37,92
2,15,2,P000,जिवन  कुमार   मिश्र ,पुरुष,30,77
2,15,2,P000,विकास कुमार तिवारी,पुरुष,46,73
2,15,2,P018,कमलेश्वरी खंग,महिला,38,67
2,15,2,P000,विरेन्द्र कुमार मिश्र,पुरुष,42,62
2,15,2,P011,निरो देवी ठाकुर,महिला,44,45
2,15,2,P000,संजय कुमार यादव,पुरुष,30,42
2,15,2,P000,केदार देव,पुरुष,50,26
2,15,3,P029,चन्द्रकान्त चौधरी,पुरुष,70,22584
2,15,3,P002,दिनेश कुमार यादव,पुरुष,56,19401
2,15,3,P001,ताराकान्त चौधरी,पुरुष,52,11188
2,15,3,P014,ताज महम्मद मंसुरी,पुरुष,51,693
2,15,3,P104,झवर प्रसाद राम,पुरुष,53,574
2,15,3,P096,कैलु राम(मोची),पुरुष,66,453
2,15,3,P112,लाल मोहमद राइन,पुरुष,38,177
2,15,3,P011,दिपु कुमार यादव,पुरुष,28,79
2,15,3,P000,विनोद कुमार यादव,पुरुष,60,66
2,15,3,P000,बिजय कुमार यादव,पुरुष,28,42
2,15,4,P002,तेजु लाल चौधरी,पुरुष,55,24113
2,15,4,P029,मृगेन्द्र कुमार सिंह यादव,पुरुष,62,14886
2,15,4,P001,मो. इस्लाम,पुरुष,43,14305
2,15,4,P058,रामवावु रजक,पुरुष,34,769
2,15,4,P113,सुर्य नारायण चौधरी (थारु),पुरुष,62,368
2,15,4,P104,जय कुमार साह,पुरुष,42,335
2,15,4,P014,शिव दर्शन पासवान,पुरुष,30,334
2,15,4,P000,कपिल देव यादव,पुरुष,45,117
