district_id,party_id,election_year,vote_share,vote_share_lag,vote_share_change,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,IS_Major?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,female_ratio,valid_turnout,valid_turnout_lag,facebook_log,leader_following_log
1,P001,2079,42.36962112861743,44.07514450867052,-1.7055233800530871,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,1,1,350.0,650.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,5.860786223465865,6.478509642208569
1,P002,2079,34.00765091097711,31.449761985719142,2.55788892525797,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,1,1,300.0,621.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,5.707110264748875,6.432940092739179
1,P003,2079,11.156497871144827,13.47543352601156,-2.318935654866733,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,1,1,160.0,700.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,5.081404364984463,6.55250788703459
1,P004,2079,2.113726252998768,0.0,2.113726252998768,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,1,0,0,250.0,1200.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,5.5254529391317835,7.0909098220799835
1,P005,2079,1.376731721022715,1.2325739544372665,0.1441577665854487,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,40.0,850.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,3.713572066704308,6.7464121285733745
1,P006,2079,1.5604400354448984,1.105066303978239,0.4553737314666595,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,1,30.0,29.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,3.4339872044851463,3.4011973816621555
1,P007,2079,0.0561931314703149,0.0,0.0561931314703149,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,0,0,25.0,550.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,3.258096538021482,6.311734809152915
1,P008,2079,3.3391687739090967,0.0,3.3391687739090967,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,0.6931471805599453,0.6931471805599453
1,P009,2079,0.010806371436599,0.0,0.010806371436599,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,1,0,1,0,30.0,40.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,3.4339872044851463,3.713572066704308
1,P010,2079,0.0497093086083554,0.0,0.0497093086083554,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,1,0,7.0,9.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,2.0794415416798357,2.302585092994046
1,P011,2079,0.0518705828956752,0.0361271676300578,0.0157434152656174,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,5.0,8.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,1.791759469228055,2.1972245773362196
1,P012,2079,0.0799671486308327,0.0063753825229513,0.0735917661078813,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,4.0,7.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,1.6094379124341003,2.0794415416798357
1,P013,2079,0.0626769543322743,0.0,0.0626769543322743,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,0.4667270770799116,52.41,60.02,0.6931471805599453,0.6931471805599453
