party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P012,1,2082,0.0799671486308327,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,4.0,7.0,1.6094379124341005,2.079441541679836,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P013,1,2082,0.0626769543322743,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P014,1,2082,0.0,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,21.0,1500.0,3.091042453358316,7.313886831633462,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P015,1,2082,0.0,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P016,1,2082,0.010806371436599,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P017,1,2082,0.2701592859149755,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P018,1,2082,0.0021612742873198,0,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P019,1,2082,0.0,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P020,1,2082,0.0,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
P021,1,2082,0.0,1,7.14,5.17,82.21,30.53,21.99,19.39,9.24,9.82,2.58,1.07,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.4654422265767711,0.2089187064775759,0.2609297330809171,0.17969156509127945,0.1419287699137578,0.11376443366878121,0.09476679176768851,90327,52.41
